"id";"course";"name";"intro";"introformat";"anonymous";"email_notification";"multiple_submit";"autonumbering";"site_after_submit";"page_after_submit";"page_after_submitformat";"publish_stats";"timeopen";"timeclose";"timemodified";"completionsubmit"
"1";"1";"OBSOLETA: NO USAR!! - Encuesta de satisfacción PROFESORES - CIPFP Mislata v.2022";"<p align=""center""><strong>SISTEMA DE GESTIÓN DE CALIDAD - ENCUESTA DE SATISFACCIÓN DEL PROFESORADO</strong></p>
<p align=""center""><img hspace=""0"" height=""120"" width=""660"" border=""0"" src=""http://www.fpmislata.com/logos/logo_completo_660x120.png"" alt=""CIPFP Mislata"" title=""CIPFP Mislata""></p>";"1";"1";"0";"1";"0";"https://www.fpmislata.com/moodle";;"1";"0";"0";"0";"1683744000";"0"
"2";"1";"OBSOLETA: NO USAR!! - Encuesta de satisfacción ALUMNOS - CIPFP Mislata - v.2020";"<p align=""center""><strong>SISTEMA DE GESTIÓN DE CALIDAD - ENCUESTA DE SATISFACCIÓN DEL ALUMNADO</strong></p>
<p align=""center""><img hspace=""0"" height=""120"" width=""660"" border=""0"" src=""http://www.fpmislata.com/logos/logo_completo_660x120.png"" alt=""CIPFP Mislata"" title=""CIPFP Mislata""></p>";"1";"1";"0";"1";"0";"https://www.fpmislata.com/moodle";;"1";"0";"0";"0";"1670397743";"0"
"3";"1";"OBSOLETA: NO USAR!! - Cuestionario de evaluación para ALUMNOS de FCT - v.2020";"<p align=""center""><strong>Cuestionario de evaluación para ALUMNOS de FCT</strong></p>
<p align=""center""><img hspace=""0"" height=""120"" width=""660"" border=""0"" src=""http://www.fpmislata.com/logos/logo_completo_660x120.png"" alt=""CIPFP Mislata"" title=""CIPFP Mislata""></p>";"1";"1";"0";"1";"0";"https://www.fpmislata.com/moodle";;"1";"0";"0";"0";"1668337124";"0"
"5";"1";"OBSOLETA: NO USAR!! - Cuestionario para el ALUMNADO de evaluación de las PRÁCTICAS - v.2023";"<p align=""center""><strong><a href=""http://www.fpmislata.es/moodle/mod/feedback/complete.php?id=6&amp;courseid"">Cuestionario para el ALUMNADO de evaluación de las PRÁCTICAS</a></strong></p>
<p align=""center""><a href=""http://www.fpmislata.es/moodle/mod/feedback/complete.php?id=6&amp;courseid""><img hspace=""0"" height=""120"" width=""660"" border=""0"" src=""http://www.fpmislata.com/logos/logo_completo_660x120.png"" alt=""CIPFP Mislata"" title=""CIPFP Mislata""></a></p>";"1";"1";"0";"1";"0";"https://www.fpmislata.com/moodle";;"1";"0";"0";"0";"1714717155";"0"
"6";"1";"OBSOLETA: NO USAR!! - Encuesta de satisfacción ALUMNOS - CIPFP Mislata - v.2021";"<p align=""center""><strong>SISTEMA DE GESTIÓN DE CALIDAD - ENCUESTA DE SATISFACCIÓN DEL ALUMNADO</strong></p>
<p align=""center""><img hspace=""0"" height=""120"" width=""660"" border=""0"" src=""http://www.fpmislata.com/logos/logo_completo_660x120.png"" alt=""CIPFP Mislata"" title=""CIPFP Mislata""></p>";"1";"1";"0";"1";"0";"https://www.fpmislata.com/moodle";;"1";"0";"0";"0";"1670397681";"0"
"7";"1";"Encuesta de satisfacción ALUMNADO - CIPFP Mislata";"<p align=""center""><strong>SISTEMA DE GESTIÓN DE CALIDAD - ENCUESTA DE SATISFACCIÓN DEL ALUMNADO</strong></p>
<p align=""center""><img hspace=""0"" height=""120"" width=""660"" border=""0"" src=""http://www.fpmislata.com/logos/logo_completo_660x120.png"" alt=""CIPFP Mislata"" title=""CIPFP Mislata""></p>";"1";"1";"0";"1";"0";"https://aules.edu.gva.es/";;"1";"0";"0";"0";"1702211016";"0"
"9";"1";"Encuesta de satisfacción PROFESORADO - CIPFP Mislata";"<p align=""center""><strong>SISTEMA DE GESTIÓN DE CALIDAD - ENCUESTA DE SATISFACCIÓN DEL PROFESORADO</strong></p>
<p align=""center""><img hspace=""0"" height=""120"" width=""660"" border=""0"" src=""http://www.fpmislata.com/logos/logo_completo_660x120.png"" alt=""CIPFP Mislata"" title=""CIPFP Mislata""></p>";"1";"1";"0";"1";"0";"https://www.fpmislata.com/moodle";;"1";"0";"0";"0";"1684170724";"0"
